keyword,word,count
bitcoin,bitcoin,29
bitcoin,etfs,24
bitcoin,asset,18
bitcoin,custody,18
bitcoin,crypto,13
bitcoin,digital,13
bitcoin,self,13
bitcoin,bank,12
bitcoin,insurance,9
bitcoin,debate,9
bitcoin,etf,9
bitcoin,circle,8
bitcoin,trust,8
bitcoin,company,8
bitcoin,credit,8
bitcoin,national,7
bitcoin,exchange,7
bitcoin,growing,7
bitcoin,income,6
bitcoin,new,6
rare earth,rare,50
rare earth,earth,49
rare earth,china,21
rare earth,mining,20
rare earth,year,17
rare earth,material,17
rare earth,project,17
rare earth,export,16
rare earth,stock,16
rare earth,mineral,15
rare earth,new,14
rare earth,metal,14
rare earth,energy,14
rare earth,critical,13
rare earth,mine,11
rare earth,com,10
rare earth,magnet,10
rare earth,million,10
rare earth,trade,10
rare earth,high,9
tesla,tesla,55
tesla,rivian,21
tesla,model,18
tesla,reliability,18
tesla,report,17
tesla,consumer,16
tesla,driving,16
tesla,busines,14
tesla,year,14
tesla,car,14
tesla,insider,13
tesla,brand,13
tesla,vehicle,13
tesla,company,12
tesla,autonomou,12
tesla,system,11
tesla,week,11
tesla,new,10
tesla,autonomy,10
tesla,data,9
