keyword,title,url,snippet,final_score,sentiment_score
"bitcoin","Wall Street saves a weekly win, and one of our cyber stocks gets closer with Google - CNBC","https://www.cnbc.com/2025/12/19/wall-street-saves-a-weekly-win-and-palo-alto-networks-gets-closer-with-google.html","# Wall Street saves a weekly win, and one of our cyber stocks gets closer with Google

----------------",26.4,0
"bitcoin","Final Trade: AMZN, BABA, GS, GM - CNBC","https://www.cnbc.com/video/2025/12/19/final-trade-amzn-baba-gs-gm.html","Fed setup is for accommodative bias into 2026, says Citi's Scott Chronert

Morgan Stanley’s Michael Zezas on policy catalysts to watch in 2026

Why 'avocado and garlic' could be key AI market catalysts to watch

Big dynamics in markets are still favorable for risk, says Goldman's Tony Pasquariello",26.4,0
"bitcoin","Gabon to Audit Mining Deals as Reforms Start Amid IMF Talks - Bloomberg.com","https://www.bloomberg.com/news/articles/2025-12-19/gabon-to-audit-mining-deals-as-reforms-start-amid-imf-talks","As part of discussions with the multilateral lender, President Brice Oligui Nguema “has demanded the full publication of all mining agreements and a comprehensive audit of those concluded between 2010 and 2024,” Nadine Nathalie Awanang, a spokeswoman for the government, said in a video posted on the presidency’s Facebook page.

MarketsEconomicsTechnologyPoliticsGreenCryptoAI [...] Work & Life

WealthPursuitsBusinessweekCityLabSportsEqualityManagement & Work

NewslettersExplainersPointed News QuizAlphadots GameThe Big TakeGraphicsSubmit a TipAbout Us [...] Markets

# Gabon to Audit Mining Deals as Reforms Start Amid IMF Talks

Confidential tip?

Gabon will kick off an audit of mining contracts as it seeks to strengthen governance amid talks with the International Monetary Fund for a new lending program.",63.48,0
"bitcoin","American Bitcoin buys additional 261 Bitcoin… holds 5044 BTC in total - bloomingbit","https://bloomingbit.io/en/feed/news/102479","# American Bitcoin buys additional 261 Bitcoin… holds 5044 BTC in total. * As a result, total **Bitcoin holdings have increased to 5044 BTC**. * The company is currently ranked **21st** in the global corporate Bitcoin holdings ranking. Bitcoin (BTC) mining company American Bitcoin Corporation (American Bitcoin Corp) has increased its Bitcoin holdings. On the 15th, Bitcoin Treasury said via X (formerly Twitter), ""American Bitcoin, backed by President Trump's family, recently purchased an additional 261 Bitcoin, bringing its total holdings to 5044 BTC."". Accordingly, the company rose to 21st place in the global corporate Bitcoin holdings ranking, the 'Bitcoin 100'. Blockchain journalist | Writer of Trade Now & Altcoin Now, must-read content for investors. What did you think of the article you just read? ### PiCK News. #### ""JP Morgan plans to launch tokenized money market fund on Ethereum…to inject $100 million in initial capital"". #### Token unlocks worth 300 million dollars expected this week… includes ARB, SOL, etc. ### Trending News.",50.8,0.1
"bitcoin","Hyperscale Data Bitcoin Treasury at 97.5% of Market Capitalization at Approximately $75.5 Million - Financial Times","https://markets.ft.com/data/announce/detail?dockey=600-202512160600PR_NEWS_USPRX____SF48387-1","### Hyperscale Data Bitcoin Treasury at 97.5% of Market Capitalization at Approximately $75.5 Million. ***Company Holds 498.4633 Bitcoin and has Allocated $31.5 Million of Cash for Future Purchases of Bitcoin***. (NYSE American: GPUS), an artificial intelligence (""**AI**"") data center company anchored by Bitcoin (""**Hyperscale Data**"" or the ""**Company**""), today announced that its Bitcoin treasury, including current holdings and cash allocated to committed purchases of Bitcoin, totaled approximately $75.5 million, based on the price of Bitcoin as of December 14, 2025. The Company remains committed to its long-term goal of accumulating Bitcoin equal to 100% of its market capitalization as part of its broader $100 milliondigital asset treasury (""**DAT**"") strategy. In addition, Hyperscale Data has allocated $31.5 million of cash for Sentinum to deploy into open-market Bitcoin purchases. ""Reaching 97.5% of the market capitalization is a significant milestone for the Company,"" stated Milton ""Todd"" Ault III, Executive Chairman of Hyperscale Data. Hyperscale Data will fully deploy the cash allocated to its DAT strategy into Bitcoin purchases over time.",63.48,0.2
"bitcoin","From Wild West To Wall Street: Blockchain Founders Redefine Trust - Forbes","https://www.forbes.com/sites/amyguttman/2025/12/15/from-wild-west-to-wall-street-blockchain-founders-redefine-trust/","The global blockchain technology market is forecast to hit $72 billion by 2027 - proof of expanding institutional confidence and demand for regulated deployment. Increasingly, institutional deployments depend on such systems, with design that builds in compliance. The business solves issues at the heart of traditional blockchain enterprise design briefs: regulatory collision across conflicting legal territories and catastrophic integration across legacy systems. LimeChain prioritizes audit, compliance and integration before development - selling banks, governments and asset managers risk reduction as a product. It’s a translation of blockchain’s raw potential into a format that institutions can deploy under regulator-grade expectations. Second, enterprises fear that blockchain deployments will break multiple existing systems just to install one new one. Most enterprises do not yet employ enough internal blockchain engineers to scale independently once systems are delivered. The company’s most visible proof point arrived with Project Diamond, a custom institutional asset platform engineered by LimeChain for Coinbase Asset Management inside the Abu Dhabi Global Market regulatory sandbox.",61.4,0.3
"bitcoin","The Untold Story of Dmitry Saksonov: From Isolation to Inspiration - Latin Times","https://www.latintimes.com/untold-story-dmitry-saksonov-isolation-inspiration-592564","# The Untold Story of Dmitry Saksonov: From Isolation to Inspiration. For Dmitry Saksonov, that moment came in 2018. Out of that conviction, the idea for Blockchain Sports began to form. From that promise, Blockchain Sports took shape. The vision was bold: connect athletes, fans, and clubs directly through blockchain and artificial intelligence. By 2023, Blockchain Sports had grown rapidly, employing more than 1,500 people. What emerged from that reset was not just a company, but an infrastructure for the future of sport. Blockchain Sports built two football academies in Brazil with IoT-based training systems, launched Atleta Network, its proprietary Layer-1 blockchain, and developed AI tools to evaluate athletic performance in real time. In February 2024, Blockchain Sports made its global debut at Dubai's Coca-Cola Arena. For Saksonov, the moment carried personal weight. Today, the company is valued at more than $250 million, and its next chapter—Blockchain Sports Arena—is set to connect three billion fans and 300,000 clubs through gamified engagement and blockchain-driven loyalty systems.",35.8,0.3
"bitcoin","DMG Blockchain: 344 BTC Mined in Fiscal Year 2025, Total Assets Reach $132 Million - Bitget","https://www.bitget.com/amp/news/detail/12560605117680","DMG Blockchain: 344 BTC Mined in Fiscal Year 2025, Total Assets Reach $132 Million. # DMG Blockchain: 344 BTC Mined in Fiscal Year 2025, Total Assets Reach $132 Million. According to TechFlow, on December 19, as reported by Globenewswire, the publicly listed bitcoin mining company DMG Blockchain Solutions released its financial results for fiscal year 2025. The report disclosed a mining output of 344 BTC for the 2025 fiscal year, with total holdings in cash, short-term investments, and digital assets amounting to $65.2 million, representing an 81% year-on-year increase. The company’s total assets reached $132 million, up 27% year-on-year. DMG Blockchain Solutions stated that it will launch digital asset financial service products in 2026 and enter the high-value artificial intelligence (AI) infrastructure market. Kazuo Ueda: The stock effect of Japanese government bonds held by the Bank of Japan is still in play. Kazuo Ueda: The stock effect of Japanese government bonds held by the Bank of Japan is still in play2.",65.8,0.2
"bitcoin","Medicine approval times in Europe to be cut by almost 15% - The Pharmaceutical Journal","https://pharmaceutical-journal.com/article/news/medicine-approval-times-in-europe-to-be-cut-by-almost-15","The Council of the European Union said that planned changes to European pharmaceutical legislation will also help streamline procedures to quicken supply chains. Approval times for medicines are set to be cut by an average 30 days in Europe following an agreement by the European Commission, European Parliament and the Council of the European Union to update 20-year-old pharmaceutical legislation. In a statement also published on 11 December 2025, the European Medicines Agency (EMA) said: “This represents the most significant overhaul of the regulatory framework in over two decades and is a once-in-a-generation opportunity to reshape medicines regulation in the EU.”. Commenting on the latest legislation update, Emer Cooke, executive director of the EMA, said: “By simplifying procedures, embracing digitalisation and rationalising our use of scientific resources, we will be better positioned to support innovation and ensure that promising new treatments reach patients faster. In the UK, the Medicines and Healthcare products Regulatory Agency (MHRA) has eliminated backlogs in approvals for new medicines.",65.8,0.5
"bitcoin","EU proposal would simplify Medical Device Regulation - MedTech Dive","https://www.medtechdive.com/news/eu-proposal-simplify-mdr/808398/","# EU proposal would simplify Medical Device Regulation. If finalized, the changes would reduce the scope of AI regulations for medical devices and include more provisions for rare disease treatments. The proposals, which were praised by industry group MedTech Europe, aim to simplify the regulations by reducing administrative burdens, encouraging coordination among regulatory bodies and including more provisions for devices intended to treat rare diseases. According to the text, transitioning to MDR and IVDR from the previous regulatory framework has ""led to the discontinuation of certain devices intended for small groups of patients, as the costs for the transition made it economically difficult for manufacturers to undertake conformity assessment.”. “The proposed introduction of pathways for breakthrough innovation and orphan devices is critical for more rapid access to needed, safe and effective technologies,” MedTech Europe wrote. The European Parliament in 2024 called for reforms to MDR and IVDR, and MedTech Europe called for regulatory changes by early 2026. * EU proposal would simplify Medical Device Regulation.",50.8,0.2
