keyword,word,count
bitcoin,bitcoin,57
bitcoin,mining,36
bitcoin,blockchain,21
bitcoin,company,18
bitcoin,asset,18
bitcoin,million,15
bitcoin,regulatory,14
bitcoin,risk,13
bitcoin,btc,13
bitcoin,year,12
bitcoin,europe,12
bitcoin,custody,12
bitcoin,zodia,10
bitcoin,bitdeer,10
bitcoin,total,9
bitcoin,treasury,9
bitcoin,digital,9
bitcoin,new,8
bitcoin,time,8
bitcoin,european,8
rare earth,rare,65
rare earth,earth,64
rare earth,magnet,23
rare earth,crore,21
rare earth,mining,19
rare earth,critical,19
rare earth,mineral,15
rare earth,scheme,15
rare earth,processing,14
rare earth,supply,14
rare earth,chain,14
rare earth,china,14
rare earth,stock,13
rare earth,manufacturing,12
rare earth,december,9
rare earth,metal,9
rare earth,production,9
rare earth,capacity,9
rare earth,lyna,9
rare earth,india,8
tesla,tesla,93
tesla,driving,40
tesla,model,28
tesla,self,23
tesla,year,22
tesla,vehicle,22
tesla,robotaxi,21
tesla,musk,20
tesla,stock,18
tesla,news,17
tesla,cars,15
tesla,car,14
tesla,new,14
tesla,level,14
tesla,sale,13
tesla,austin,13
tesla,pay,12
tesla,electric,12
tesla,street,11
tesla,tsla,11
