date,keyword,title,final_score,sentiment_score,url
"2025-12-01","rare earth","The Rare Earth Metal Driving Tensions Between the US and China - WIRED",77.5,-0.8,"https://www.wired.com/story/yttrium-rare-earth-metal-china-us/"
"2025-12-01","rare earth","Australian miners thrust into spotlight as yttrium rockets 4,000% - Mining.com.au",71.67,0.7,"https://mining.com.au/australian-miners-thrust-into-spotlight-as-yttrium-rockets-4000/"
"2025-12-01","rare earth","Victoria strengthens critical minerals capabilities with green light at Goschen - Australian Mining",54.17,0.8,"https://www.australianmining.com.au/victoria-critical-minerals-green-light-goschen/"
"2025-12-01","rare earth","2 Monster Stocks to Hold for the Next 5 Years - The Motley Fool",77.5,0.8,"https://www.fool.com/investing/2025/11/30/2-monster-stocks-to-hold-for-the-next-5-years/"
"2025-12-01","rare earth","The Capital Crunch: VHM enters last stage of financing - Mining.com.au",54.17,0.3,"https://mining.com.au/the-capital-crunch-vhm-enters-last-stage-of-financing-package/"
"2025-12-01","rare earth","Sunday Edition: 30th November - Next Investors",60,0.7,"https://nextinvestors.com/articles/sunday-edition-30th-november/"
"2025-12-01","rare earth","How to watch asteroid Eros's close encounter with Andromeda galaxy - NewsBytes",7.5,0,"https://www.newsbytesapp.com/news/science/eros-to-pass-by-andromeda-tonight-how-to-watch/story"
"2025-12-01","rare earth","Zijin founder who built the $100 billion Chinese miner retires - Mining.com",60,0.6,"https://www.mining.com/web/zijin-founder-who-built-the-100-billion-chinese-miner-retires/"
"2025-12-01","rare earth","This Mining Stock Is Up 385% in 2025. 1 Reason This Could Be Just the Beginning. - AOL.com",54.17,0.6,"https://www.aol.com/articles/mining-stock-385-2025-1-093500725.html"
"2025-12-01","rare earth","High gold prices hit demand across major Asian hubs - Mining.com",60,-0.6,"https://www.mining.com/web/high-gold-prices-hit-demand-across-major-asian-hubs/"
"2025-12-01","rare earth","Newmont Gold Surges: How the Market’s Golden Child Defies Volatility in 2025 - Ad-hoc-news.de",65.83,0.7,"https://www.ad-hoc-news.de/boerse/news/ueberblick/newmont-gold-surges-how-the-market-s-golden-child-defies-volatility-in/68401283"
"2025-12-01","rare earth","One discovery that Oriented 2025: 12 Days of Christmas - Mining.com.au",60,0.7,"https://mining.com.au/one-discovery-that-shaped-2025-12-days-of-christmas/"
"2025-12-01","rare earth","Exploration funding reaches ‘turning point’ in Australia: report - Australian Mining",65.83,0.8,"https://www.australianmining.com.au/exploration-funding-reaches-turning-point-in-australia-report/"
"2025-12-01","rare earth","Neuron Energy raises ₹31 crore to scale up EV-battery production in India - Telematics Wire",60,0.7,"https://telematicswire.net/neuron-energy-raises-%E2%82%B931-crore-to-scale-up-ev-battery-production-in-india/"
"2025-12-01","rare earth","How Beca is redefining tailings for modern mining demands - Australian Mining",54.17,0.6,"https://www.australianmining.com.au/how-beca-is-redefining-tailings-for-modern-mining-demands/"
"2025-12-01","rare earth","Hydropower, Energy Dominance, And Tribal Rights - CleanTechnica",77.5,-0.7,"https://cleantechnica.com/2025/11/30/hydropower-energy-dominance-and-tribal-rights/"
"2025-12-01","tesla","Here's What Tesla's New Range of Affordable Electric Cars Cost - CNET",60,0.6,"https://www.cnet.com/home/electric-vehicles/heres-what-teslas-new-range-of-affordable-electric-cars-cost/"
"2025-12-01","tesla","Watch how a Tesla with Full Self-Driving handles being run off the road - CarExpert",42.5,0.3,"https://www.carexpert.com.au/car-news/watch-how-a-tesla-with-full-self-driving-handles-being-run-off-the-road"
"2025-12-01","tesla","Elon Musk opens up to Nikhil Kamath about philanthropy, says donating money is ‘extremely challenging’ - livemint.com",13.33,0,"https://www.livemint.com/news/us-news/elon-musk-nikhil-kamath-wtf-podcast-about-philanthropy-says-donating-money-is-extremely-challenging-11764561431540.html"
"2025-12-01","tesla","Market Data - TheStreet",48.33,0.4,"https://www.thestreet.com/investing/for-now-maybe-through-holidays-stocks-should-move-ahead"
"2025-12-01","tesla","Another EV Charging Hub Running On Renewable Energy Launches In California - CleanTechnica",54.17,0.6,"https://cleantechnica.com/2025/11/30/another-ev-charging-hub-running-on-renewable-energy-launches-in-california/"
"2025-12-01","tesla","Elon Musk teases a future run by robots - Fox News",54.17,0.1,"https://www.foxnews.com/tech/elon-musk-teases-future-run-robots"
"2025-12-01","tesla","Intel Stock Price Forecast 2026: Can INTC’s AI and Apple Hopes Power the Next Leg Higher? - ts2.tech",77.5,0.3,"https://ts2.tech/en/intel-stock-price-forecast-2026-can-intcs-ai-and-apple-hopes-power-the-next-leg-higher/"
"2025-12-01","tesla","Considering Buying a $20K Home Robot? There's Something You Need to Know First - CNET",54.17,-0.2,"https://www.cnet.com/tech/considering-buying-a-20k-home-robot-theres-something-you-need-to-know-first/"
"2025-12-01","tesla","Fortescue Delivers Large Scale BYD Battery Energy Storage System To North Star Junction - TradingView",54.17,0,"https://www.tradingview.com/news/reuters.com,2025:newsml_FWN3X602U:0-fortescue-delivers-large-scale-byd-battery-energy-storage-system-to-north-star-junction/"
"2025-12-01","tesla","Why do EV charging attempts fail? ChargerHelp’s Kameale Terry explains. - Automotive News",13.33,0,"https://www.autonews.com/podcasts/shift/an-shift-podcast-ev-charging-kameale-terry-1230/"
"2025-12-01","tesla","Hyundai expands V2X services across three markets - Automotive World",60,0.6,"https://www.automotiveworld.com/news/hyundai-expands-v2x-services-across-three-markets/"
"2025-12-01","tesla","DJI Pushes the Mini 3 Fly More Drone Combo to a Zero-Margin Price, but Stock Won’t Hold the Cyber Monday Deal for Long - Kotaku",30.83,0.6,"https://kotaku.com/dji-pushes-the-mini-3-fly-more-drone-combo-to-a-zero-margin-price-but-stock-wont-hold-the-cyber-monday-deal-for-long-2000648776"
