keyword,word,count
bitcoin,bitcoin,64
bitcoin,mining,33
bitcoin,company,25
bitcoin,btc,21
bitcoin,million,17
bitcoin,crypto,16
bitcoin,holding,15
bitcoin,week,15
bitcoin,data,14
bitcoin,investor,13
bitcoin,approximately,11
bitcoin,new,10
bitcoin,sec,10
bitcoin,american,10
bitcoin,vbit,10
bitcoin,treasury,9
bitcoin,bank,8
bitcoin,industry,8
bitcoin,total,8
bitcoin,next,7
rare earth,rare,80
rare earth,earth,79
rare earth,china,36
rare earth,trump,30
rare earth,material,30
rare earth,magnet,29
rare earth,mining,27
rare earth,mine,26
rare earth,trade,21
rare earth,production,20
rare earth,mineral,18
rare earth,india,18
rare earth,mountain,17
rare earth,pass,17
rare earth,cost,16
rare earth,critical,16
rare earth,metal,16
rare earth,billion,15
rare earth,year,15
rare earth,news,14
tesla,tesla,93
tesla,model,29
tesla,vehicle,25
tesla,cybertruck,23
tesla,stock,20
tesla,driving,18
tesla,new,18
tesla,company,16
tesla,electric,16
tesla,year,16
tesla,robotaxi,16
tesla,busines,14
tesla,austin,14
tesla,musk,12
tesla,sale,10
tesla,share,10
tesla,testing,10
tesla,week,10
tesla,rivian,9
tesla,news,9
