keyword,title,url,snippet,final_score,sentiment_score
"bitcoin","Bitcoin Winter Has Begun: Why A Major Crash May Still Be Ahead - Forbes","https://www.forbes.com/sites/digital-assets/2025/12/12/bitcoin-winter-has-begun-why-a-major-crash-may-still-be-ahead/","To me, bitcoin’s connection to Wall Street is fatal. Wall Street drains value from assets, it doesn’t inject money into markets – it farms them. That’s not to say it doesn’t have its place, but for an emerging asset like crypto or bitcoin, it acts as a predator in a naïve land. I don’t think that ends well for the asset.

However, let’s keep the words to a minimum and look at the chart: [...] The key point is that we don’t have to be a bull or a bear – we can just observe. A W-shaped structure is very bullish, but if the subsequent support level is broken, a sharp decline typically follows:

In my view, bitcoin is in a bear market, and only a miracle will save it. It can happen—but I believe it won’t.

Find Clem Chambers on LinkedIn and X. Visit Clem's website.

## Join The Conversation [...] A bull will see bitcoin at the bottom of an upward trend. The expectation would be to trade sideways along this level and then, at some point, break higher. The target in that scenario would be $140,000+. However, I’m not going to bother drawing that chart, because as I’ve stated, the crypto winter is here.",61.4,-0.75
"bitcoin","Analysts flag risks for Strategy at Nasdaq's 100 index reshuffle - Reuters","https://www.reuters.com/business/finance/analysts-flag-risks-strategy-nasdaqs-100-index-reshuffle-2025-12-12/","Concerns have grown over the sustainability of crypto treasury companies, whose shares have proved extremely sensitive to bitcoin's gyrations. Strategy shares are down 65% from their 2024 peak and 36% year-to-date, compared with a 3.6% drop in bitcoin this year.

Strategy's market value has fallen to $52.7 billion as of Thursday, while its bitcoin holdings are worth more than $61 billion, according to Reuters calculations. [...] Dec 12 (Reuters) - Bitcoin hoarding giant Strategy (MSTR.O), opens new tab may be at risk of being removed from the Nasdaq 100 index (.NDX), opens new tab at its annual reshuffle on Friday, amid questions over its business model that have weighed on its share price, some analysts flagged this week. [...] Strategy reported a net profit of $2.78 billion for the three months ended September 30, compared with a loss of $340.2 million a year earlier, mostly driven by an accounting change that allowed it to book gains on its bitcoin holdings. The Virginia-based company's revenue from the legacy software business, meanwhile, stood at just $128.7 million.",73.48,-0.5
"bitcoin","Dollar-Yen Pair Seems Near-Term Bullish on Charts - The Wall Street Journal","https://www.wsj.com/finance/currencies/asian-currencies-consolidate-risk-on-sentiment-may-support-f022b337?gaa_at=eafs&gaa_n=AWEtsqeRzBId3EoK5MCgE0OJyI4gdDyJ5-HeK6sfUHRUI-rupi5xsuaYcCnE&gaa_ts=693b75e4&gaa_sig=h8foeVozQ7ErWFaTwXU1XNU_v8r_jUqhN4-DctMFhwDgQaPK0dkgxxY47_qMHVhlDS6lC__osxmNR5PEz1T8EA%3D%3D","Use Alt + Down Arrow to expand.

#### Are We Witnessing the Greatest Team in NBA History?

#### Michigan Fires Football Coach for ‘Inappropriate Relationship’ With Staffer

#### He Blames ChatGPT for the Murder-Suicide That Shattered His Family

#### The Fed Cuts Rates Again—but Why?

#### How Isolationist Are Trump’s Voters? [...] little changed at 155.55, USD/KRW is 0.1% higher at 1,472.44, and AUD/USD is flat at 0.6665, FactSet data show. (ronnie.harui@wsj.com)",28.48,0
"bitcoin","Do Kwon: TerraUSD creator sentenced to 15 years in prison over $40bn crash - BBC","https://www.bbc.com/news/articles/ckgmm92d213o","Prosecutors alleged that when TerraUSD fell below its $1 peg in May 2021, Kwon told investors that a computer algorithm had restored its value.

Instead, Kwon had arranged for a trading firm to secretly buy millions of dollars of the coin to artificially boost its value, according to court documents.

# Crypto fraudster sentenced for 'epic' $40bn stablecoin crash

A former crypto entrepreneur who was behind two digital currencies that collapsed and lost an estimated $40bn ($29.9bn) has been sentenced by a New York judge to 15 years in prison for an ""epic"" fraud.

Do Kwon, a South Korean national, was co-founder of Singapore-based Terraform Labs, which developed the TerraUSD and Luna digital coins.",77.04,-0.7
"bitcoin","Futures Mixed; Broadcom Skids Despite AI Chip Sales Boom - Investor's Business Daily","https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-broadcom-ai-chip-sales-doubling/","IBD Stock CheckupStock Of The DayScreen Of The DayIBD ChartsStock ScreenerSwing TradingOptionsInvesting Action PlanEarnings PreviewEarnings CalendarIBD Industry ThemesThe New AmericaBest ETFsBest Mutual FundsThe Income InvestorIBD Stock AnalysisIndustry SnapshotIBD 50 Stocks To WatchIBD Data StoriesIBD Digital: 2 Months for $20
eIBDTechnologyMagnificent Seven StocksPersonal FinanceSpecial ReportsCryptocurrencyRetirementManagement

ECONOMY [...] Economic CalendarEconomic NewsIBD Digital: 2 Months for $20

IBD LiveHow To Invest VideosOptions VideosInvesting With IBD PodcastGrowth Stories PodcastWebinarsOnline CoursesIBD Digital: 2 Months for $20

How To Invest In StocksStock Investing KeysStock Market TimingTrack Market TrendsHow To Read Stock ChartsHow To Buy StocksWhen To Sell StocksShort SellingSwing TradingWhat Is Crypto

EDUCATIONAL RESOURCES [...] New to IBDInvestor's CornerInvesting With IBD PodcastEvents & WebinarsIBD Moneyworks12 Days Of LearningInvesting InfographicsPremium Online CoursesPremium Workshops

Founder's ClubSwingTraderLeaderboardMarketSurgeeIBDIBD DigitalIBD Live

Agnico-Eagle Leads 7 Gold Miners Onto Best Growth Stock Lists",28.16,0
"bitcoin","Gemini shares soar after winning CFTC approval for prediction market: CNBC Crypto World - cnbc.com","https://www.cnbc.com/video/2025/12/11/gemini-shares-soar-after-winning-cftc-approval-prediction-market-cnbc-crypto-world.html","Tech [...] On today's episode of CNBC Crypto World, major cryptocurrencies fall the day after the Federal Reserve's latest rate cut. Plus, Terraform Labs founder Do Kwon appeared before a judge for his sentencing in New York federal court for fraud and conspiracy. And, 21shares Chief Investment Strategist Adrian Fritz breaks down the asset manager's new crypto outlook report for 2026 and discusses the launch of the firm's spot XRP ETF in the U.S.",41.4,-0.1
"bitcoin","Crypto Entrepreneur Who Caused 2022 Crash Is Sentenced to 15 Years in Prison - The New York Times","https://www.nytimes.com/2025/12/11/technology/crypto-do-kwon-sentenced-prison.html","Other leading figures in the crypto world have received leniency. Changpeng Zhao, the founder of the Binance exchange, was sentenced to four months in prison after pleading guilty to a money-laundering violation in 2023. President Trump, a vocal crypto proponent, granted Mr. Zhao a pardon in October. [...] Mr. Kwon’s lawyers had sought a sentence of no more than five years, arguing that his criminal behavior flowed from arrogance and desperation, rather than personal greed. Prosecutors argued that he should receive a 12-year sentence, because he had lied to investors about his cryptocurrencies and then “fled from the wreckage” when the coins imploded. [...] Mr. Kwon is the latest high-profile crypto executive to be punished for the 2022 market crisis. Last year, Sam Bankman-Fried, the disgraced founder of the FTX crypto exchange, was sentenced to 25 years in prison.",67.2,-0.4
"bitcoin","U.S. Natural Gas Futures Extend Decline - The Wall Street Journal","https://www.wsj.com/finance/commodities-futures/u-s-natural-gas-futures-extend-decline-87ee95f2?gaa_at=eafs&gaa_n=AWEtsqeVWoImwSoa1bAGKDFrzKWmHSNfKWxokj0qT88kXTbLK9zGQMhMZDc7&gaa_ts=693c2995&gaa_sig=LjWF0GqdeDdl6Zo6DgXmbTTNyCuPQO72NWpokVKJbwFj1jK04uUbVxbbAe0mtMACQcQ2MhNk4rYQjnU0TwcELA%3D%3D","Use Alt + Down Arrow to expand.

### Bezos and Musk target AI through space. These Earthly stocks could benefit.

The investing edge is spotting where capital for orbital AI goes first, says Matthew Tuttle

Investing time and money into community beautification—planting trees, cleaning streets and maintaining shared spaces—pays off

### Wave of Gen-Z Unrest Fells Its First European Government

Bulgaria’s government collapsed following youth-driven street protests of the kind that have swept parts of the globe.",28.48,0
"bitcoin","China’s Next Play in AI Race? Faster, Easier IPOs - The Wall Street Journal","https://www.wsj.com/finance/stocks/chinas-next-play-in-ai-race-faster-easier-ipos-489ed452?gaa_at=eafs&gaa_n=AWEtsqe_Zauap4gfipGeiU0NS2FD-0X8y6K2y0-SgP_umlPGvp5VNMXAdgy7&gaa_ts=693bfd9b&gaa_sig=oKQ8xYPLoPv-qSWdFYJzs4DhASV11bQbhoC8wWZjhsTAV_bLcOaoOrJIhhL_Ek-mO8PkClqD9Fy2jEKiVKLSWg%3D%3D","Use Alt + Down Arrow to expand.",28.48,0
"bitcoin","Lightning chase Jacob Markstrom on the way to routing the Devils 8-4 - AP News","https://apnews.com/article/lightning-devils-score-573c4f517c2e1434fa952a0639365a4f","Israel-Hamas War Russia-Ukraine War Español China Asia Pacific Latin America Europe

+ Zelenskyy says US-led peace talks wrestling with Russian demands for Ukrainian territory

+ Maria Corina Machado says Maduro government didn't know where she was hiding

+ Border clashes between Thailand and Cambodia intensify with airstrikes and artillery attacks

+ U.S.

+ U.S.

----------------",27.2,0
