keyword,word,count
bitcoin,bitcoin,107
bitcoin,mining,39
bitcoin,crypto,24
bitcoin,year,19
bitcoin,company,14
bitcoin,digital,14
bitcoin,stock,14
bitcoin,asset,13
bitcoin,new,12
bitcoin,holding,11
bitcoin,million,11
bitcoin,reward,10
bitcoin,share,9
bitcoin,reserve,9
bitcoin,news,9
bitcoin,bitdeer,9
bitcoin,cathedra,9
bitcoin,state,9
bitcoin,lolli,9
bitcoin,street,8
rare earth,rare,26
rare earth,earth,26
rare earth,china,26
rare earth,export,21
rare earth,mining,18
rare earth,stock,15
rare earth,million,15
rare earth,quota,13
rare earth,material,13
rare earth,new,12
rare earth,com,11
rare earth,year,11
rare earth,project,11
rare earth,metal,10
rare earth,lithium,9
rare earth,trade,9
rare earth,company,8
rare earth,market,8
rare earth,month,8
rare earth,global,7
tesla,tesla,95
tesla,model,41
tesla,year,26
tesla,new,22
tesla,sale,21
tesla,reliability,21
tesla,driving,18
tesla,consumer,18
tesla,update,17
tesla,car,17
tesla,report,17
tesla,vehicle,13
tesla,cars,11
tesla,feature,11
tesla,november,10
tesla,holiday,10
tesla,musk,10
tesla,brand,10
tesla,elon,9
tesla,self,9
