keyword,title,url,snippet,final_score,sentiment_score
"bitcoin","Strategy and bitcoin-buying firms face wider exclusion from stock indexes - Reuters","https://www.reuters.com/business/strategy-bitcoin-buying-firms-face-wider-exclusion-stock-indexes-2025-12-19/","Get a daily digest of breaking business news straight to your inbox with the Reuters Business newsletter. Sign up here.

Shares in Strategy, which began life as software firm MicroStrategy, skyrocketed 3,000% after it began buying bitcoin in 2020, although they have since fallen sharply, and are down about 43% this year amid the cryptocurrency's slump. [...] Purchase Licensing Rights

Elizabeth Howcroft reports on finance and technology, including Europe's ""fintech"" industry and cryptocurrencies. She was part of the team which won a Loeb award and SABEW award for covering the collapse of crypto exchange FTX in 2022.

EU Council backs digital euro with both online and offline functionality

Boards, Policy & Regulationcategory [...] US crypto industry cheers 2025 wins, but party may fizzle next year

Coinbase appoints UK ex-finance minister George Osborne to run advisory council

Focus: No small token: Chinese firms convert prized trees, tea into digital assets

### AI boom drives data-center dealmaking to record high, says report",58.48,-0.3
"bitcoin","Bitcoin Is Doing Something Last Seen in 2014. Wall Street Analysts Say This Will Happen in 2026. - Yahoo Finance","https://finance.yahoo.com/news/bitcoin-doing-something-last-seen-091500313.html","* Analysts at Standard Chartered and Bernstein expect Bitcoin to reach $150,000 in 2026, a forecast that implies 74% upside from its current price of $86,000. * More institutional investors are adding Bitcoin to their portfolios due to the improving regulatory environment and the simplicity of spot Bitcoin ETFs. The investment thesis for Bitcoin centers on the idea that demand will increase in the coming years as institutional investors diversify their portfolios and corporations integrate digital assets into their treasury strategies. Here's the big picture: A few Wall Street analysts have issued optimistic target prices for Bitcoin in 2026, and their reasoning largely centers on spot Bitcoin ETFs driving adoption among institutional investors. ## Should you buy stock in Bitcoin right now? Before you buy stock in Bitcoin, consider this:. The *Motley Fool Stock Advisor* analyst team just identified what they believe are the **10 best stocks** for investors to buy now… and Bitcoin wasn’t one of them.",65.6,0.3
"bitcoin","American Bitcoin buys additional 261 Bitcoin… holds 5044 BTC in total - bloomingbit","https://bloomingbit.io/en/feed/news/102479","# American Bitcoin buys additional 261 Bitcoin… holds 5044 BTC in total. * As a result, total **Bitcoin holdings have increased to 5044 BTC**. * The company is currently ranked **21st** in the global corporate Bitcoin holdings ranking. Bitcoin (BTC) mining company American Bitcoin Corporation (American Bitcoin Corp) has increased its Bitcoin holdings. On the 15th, Bitcoin Treasury said via X (formerly Twitter), ""American Bitcoin, backed by President Trump's family, recently purchased an additional 261 Bitcoin, bringing its total holdings to 5044 BTC."". Accordingly, the company rose to 21st place in the global corporate Bitcoin holdings ranking, the 'Bitcoin 100'. Blockchain journalist | Writer of Trade Now & Altcoin Now, must-read content for investors. What did you think of the article you just read? ### PiCK News. #### ""JP Morgan plans to launch tokenized money market fund on Ethereum…to inject $100 million in initial capital"". #### Token unlocks worth 300 million dollars expected this week… includes ARB, SOL, etc. ### Trending News.",50.8,0.1
"bitcoin","American Bitcoin's Bitcoin reserves have increased by approximately 623 BTC in the past 7 days, bringing its current holdings to 4941 BTC. - bitget.com","https://www.bitget.com/amp/news/detail/12560605109872","American Bitcoin's Bitcoin reserves have increased by approximately 623 BTC in the past 7 days, bringing its current holdings to 4941 BTC. # American Bitcoin's Bitcoin reserves have increased by approximately 623 BTC in the past 7 days, bringing its current holdings to 4941 BTC. Emmett Gallic, a blockchain analyst who previously disclosed and analyzed the ""1011 insider whale,"" posted on the X platform revealing updated data on the Bitcoin reserves of American Bitcoin, a crypto mining company supported by the Trump family. In the past seven days, they increased their holdings by about 623 BTC, of which approximately 80 BTC came from mining income and 542 BTC from strategic acquisitions in the open market. Ultiland: The new RWA unicorn is rewriting the on-chain narrative of art, IP, and assets. Crypto 2026 in the Eyes of a16z: These 17 Trends Will Reshape the Industry. Crypto 2026 in the Eyes of a16z: These 17 Trends Will Reshape the Industry.",50.8,0.1
"bitcoin","Hyperscale Data Bitcoin Treasury at 97.5% of Market Capitalization at Approximately $75.5 Million - Financial Times","https://markets.ft.com/data/announce/detail?dockey=600-202512160600PR_NEWS_USPRX____SF48387-1","### Hyperscale Data Bitcoin Treasury at 97.5% of Market Capitalization at Approximately $75.5 Million. ***Company Holds 498.4633 Bitcoin and has Allocated $31.5 Million of Cash for Future Purchases of Bitcoin***. (NYSE American: GPUS), an artificial intelligence (""**AI**"") data center company anchored by Bitcoin (""**Hyperscale Data**"" or the ""**Company**""), today announced that its Bitcoin treasury, including current holdings and cash allocated to committed purchases of Bitcoin, totaled approximately $75.5 million, based on the price of Bitcoin as of December 14, 2025. The Company remains committed to its long-term goal of accumulating Bitcoin equal to 100% of its market capitalization as part of its broader $100 milliondigital asset treasury (""**DAT**"") strategy. In addition, Hyperscale Data has allocated $31.5 million of cash for Sentinum to deploy into open-market Bitcoin purchases. ""Reaching 97.5% of the market capitalization is a significant milestone for the Company,"" stated Milton ""Todd"" Ault III, Executive Chairman of Hyperscale Data. Hyperscale Data will fully deploy the cash allocated to its DAT strategy into Bitcoin purchases over time.",63.48,0.2
"rare earth","Mesoporous high-entropy oxides enable metabolic fingerprinting for pancreatic cancer - Nature","https://www.nature.com/articles/s41578-025-00882-3","Provided by the Springer Nature SharedIt content-sharing initiative

Sign up for the Nature Briefing newsletter — what matters in science, free to your inbox daily.

Get the most important science stories of the day, free in your inbox. Sign up for Nature Briefing [...] Research Highlight

# Mesoporous high-entropy oxides enable metabolic fingerprinting for pancreatic cancer

Instant access to the full article PDF.

Prices may be subject to local taxes which are calculated during checkout",28.64,0
"rare earth","US raises Graphite One loan to $2.1B - Mining.com","https://www.mining.com/us-raises-graphite-one-loan-to-2-1b/","Henry Lazenby | December 19, 2025 | 7:43 am  Battery Metals Critical Minerals Canada USA Graphite [...] Copper $ 5.5267 / lb  1.83%",48,0
"rare earth","Iron as a sustainable energy carrier - Nature","https://www.nature.com/articles/s41578-025-00876-1","Provided by the Springer Nature SharedIt content-sharing initiative

Sign up for the Nature Briefing newsletter — what matters in science, free to your inbox daily.

Get the most important science stories of the day, free in your inbox. Sign up for Nature Briefing [...] View author publications

Correspondence to Laurine Choisez.

### Competing interests [...] CAS  PubMed  PubMed Central   Google Scholar

11. Peng, F. et al. Ignition and combustion of a single iron particle with impurities in hot post-flame gas flow. Combust. Flame 265, 113509 (2024).

12. Choisez, L. et al. Phase transformations and microstructure evolution during combustion of iron powder. Acta Mater. 239, 118261 (2022).",28.64,0
"rare earth","Is China Saving The Planet? Lessons From 2025’s Cleantech Race - Forbes","https://www.forbes.com/sites/elenabou/2025/12/19/is-china-saving-the-planet-lessons-from-2025s-cleantech-race/","Is China Saving The Planet? Lessons From 2025’s Cleantech Race

NurPhoto via Getty Images [...] In the first half of the year alone, China installed more solar panels than the rest of the world combined. And in August, the country set a new export record – $20 billion in cleantech shipments. Surging demand for electric vehicles and batteries drove much of that growth, but even in maturing segments like solar PV, China’s influence remained profound: it exported 46 GW of solar panels in a single month which is more than the entire installed capacity of Australia. [...] U.S Outpaces China In Battery Investment, Momentarily",66.4,0.45
"rare earth","Nike’s China conundrum deepens as turnaround stagnates - Reuters","https://www.reuters.com/business/retail-consumer/nikes-china-conundrum-deepens-turnaround-stagnates-2025-12-19/","Nike fails to contain margin bleed amid tariffs, turnaround, as shares fall

### Maersk completes first Red Sea voyage in nearly two years

Worldcategory · · ago [...] Our Standards: The Thomson Reuters Trust Principles., opens new tab

Thomson Reuters [...] Meanwhile, digital, seen as critical for growth, is sputtering, with online sales down 36% as competition from domestic brands like Anta and Li-Ning intensifies.

Direct-to-consumer traffic cooled both online and in stores. Zacks analyst David Bartosiak said the segment was a “problem child.”",63.48,-0.5
