keyword,word,count
bitcoin,bitcoin,46
bitcoin,btc,14
bitcoin,american,10
bitcoin,holding,10
bitcoin,data,9
bitcoin,company,9
bitcoin,million,7
bitcoin,approximately,7
bitcoin,treasury,6
bitcoin,increased,6
bitcoin,hyperscale,6
bitcoin,stock,5
bitcoin,purchase,5
bitcoin,crypto,5
bitcoin,analyst,5
bitcoin,current,5
bitcoin,investor,5
bitcoin,strategy,4
bitcoin,industry,4
bitcoin,asset,4
rare earth,rare,64
rare earth,earth,64
rare earth,china,39
rare earth,mining,26
rare earth,magnet,26
rare earth,crore,21
rare earth,dec,20
rare earth,export,17
rare earth,stock,17
rare earth,company,15
rare earth,supply,15
rare earth,scheme,15
rare earth,lyna,15
rare earth,price,14
rare earth,production,14
rare earth,manufacturing,14
rare earth,asx,14
rare earth,critical,13
rare earth,chain,13
rare earth,import,13
tesla,tesla,95
tesla,driving,38
tesla,self,30
tesla,stock,29
tesla,vehicle,25
tesla,musk,20
tesla,sale,20
tesla,tsla,16
tesla,model,16
tesla,year,15
tesla,robotaxi,14
tesla,full,14
tesla,company,13
tesla,dec,13
tesla,level,13
tesla,week,12
tesla,electric,12
tesla,new,11
tesla,news,11
tesla,million,11
