keyword,word,count
bitcoin,bitcoin,89
bitcoin,crypto,32
bitcoin,bank,24
bitcoin,btc,23
bitcoin,american,21
bitcoin,asset,18
bitcoin,week,17
bitcoin,dec,17
bitcoin,charter,17
bitcoin,etf,16
bitcoin,holding,14
bitcoin,digital,13
bitcoin,trust,13
bitcoin,cut,13
bitcoin,new,12
bitcoin,price,12
bitcoin,hold,12
bitcoin,hut,12
bitcoin,approval,11
bitcoin,major,10
rare earth,rare,45
rare earth,earth,45
rare earth,china,45
rare earth,export,29
rare earth,critical,20
rare earth,mining,19
rare earth,mineral,18
rare earth,zinc,17
rare earth,trade,16
rare earth,korea,14
rare earth,stock,13
rare earth,year,13
rare earth,new,11
rare earth,project,11
rare earth,high,11
rare earth,magnet,11
rare earth,supply,10
rare earth,material,10
rare earth,billion,10
rare earth,market,10
tesla,tesla,80
tesla,vehicle,29
tesla,driving,24
tesla,model,23
tesla,sale,21
tesla,year,15
tesla,robotaxi,15
tesla,share,12
tesla,self,12
tesla,new,12
tesla,stock,12
tesla,austin,12
tesla,car,12
tesla,week,12
tesla,news,10
tesla,electric,10
tesla,musk,10
tesla,driverles,10
tesla,company,10
tesla,rivian,10
