keyword,word,count
bitcoin,bitcoin,86
bitcoin,crypto,28
bitcoin,holding,23
bitcoin,etfs,19
bitcoin,custody,18
bitcoin,asset,15
bitcoin,self,13
bitcoin,american,11
bitcoin,news,10
bitcoin,stock,9
bitcoin,busines,9
bitcoin,etf,9
bitcoin,digital,9
bitcoin,exchange,9
bitcoin,insider,9
bitcoin,bitdeer,9
bitcoin,cathedra,9
bitcoin,debate,9
bitcoin,bank,8
bitcoin,week,7
rare earth,rare,41
rare earth,earth,41
rare earth,china,33
rare earth,export,25
rare earth,supply,20
rare earth,trump,15
rare earth,critical,14
rare earth,mining,14
rare earth,mineral,13
rare earth,trade,12
rare earth,chain,11
rare earth,new,11
rare earth,project,10
rare earth,magnet,10
rare earth,australia,10
rare earth,year,10
rare earth,metal,10
rare earth,com,9
rare earth,global,9
rare earth,million,9
tesla,tesla,50
tesla,report,22
tesla,consumer,20
tesla,reliability,20
tesla,top,11
tesla,ranking,9
tesla,cnbc,8
tesla,brand,8
tesla,vehicle,8
tesla,year,8
tesla,american,8
tesla,open,8
tesla,december,8
tesla,law,8
tesla,electric,7
tesla,score,7
tesla,data,7
tesla,term,7
tesla,model,7
tesla,update,7
