keyword,word,count
bitcoin,bitcoin,96
bitcoin,strategy,20
bitcoin,crypto,19
bitcoin,company,17
bitcoin,asset,17
bitcoin,price,13
bitcoin,companie,13
bitcoin,money,13
bitcoin,american,11
bitcoin,data,11
bitcoin,reserve,11
bitcoin,billion,10
bitcoin,purchase,10
bitcoin,financial,10
bitcoin,btc,10
bitcoin,digital,10
bitcoin,december,10
bitcoin,time,9
bitcoin,treasury,9
bitcoin,million,9
rare earth,rare,40
rare earth,earth,40
rare earth,china,26
rare earth,critical,15
rare earth,export,15
rare earth,project,11
rare earth,year,11
rare earth,trade,11
rare earth,supply,11
rare earth,mining,10
rare earth,mineral,9
rare earth,deposit,9
rare earth,surplu,9
rare earth,carina,9
rare earth,chain,9
rare earth,company,8
rare earth,high,8
rare earth,magnet,8
rare earth,could,7
rare earth,chinese,7
tesla,tesla,78
tesla,model,31
tesla,new,23
tesla,driving,22
tesla,car,18
tesla,week,15
tesla,stock,15
tesla,vehicle,12
tesla,tsla,12
tesla,sale,12
tesla,feature,12
tesla,news,11
tesla,dec,11
tesla,phone,11
tesla,year,9
tesla,electric,9
tesla,driver,9
tesla,reliability,9
tesla,owner,9
tesla,cybertruck,9
