keyword,word,count
bitcoin,bitcoin,81
bitcoin,mining,33
bitcoin,price,20
bitcoin,etfs,17
bitcoin,custody,17
bitcoin,year,16
bitcoin,company,16
bitcoin,crypto,15
bitcoin,self,13
bitcoin,etf,11
bitcoin,debate,10
bitcoin,end,9
bitcoin,asset,9
bitcoin,amid,9
bitcoin,hive,9
bitcoin,bank,8
bitcoin,target,8
bitcoin,billion,8
bitcoin,million,8
bitcoin,paraguay,8
rare earth,rare,48
rare earth,earth,48
rare earth,supply,41
rare earth,china,26
rare earth,chain,23
rare earth,export,22
rare earth,critical,18
rare earth,global,17
rare earth,stock,15
rare earth,new,14
rare earth,tariff,14
rare earth,oil,14
rare earth,material,12
rare earth,mining,12
rare earth,production,12
rare earth,november,12
rare earth,mineral,11
rare earth,metal,11
rare earth,year,11
rare earth,water,11
tesla,tesla,123
tesla,model,55
tesla,cybertruck,50
tesla,report,30
tesla,consumer,25
tesla,reliability,25
tesla,year,21
tesla,price,18
tesla,first,17
tesla,stock,16
tesla,electric,16
tesla,truck,15
tesla,musk,15
tesla,vehicle,15
tesla,driving,15
tesla,new,14
tesla,top,13
tesla,car,13
tesla,ranking,13
tesla,california,12
